step,loss
10,2.9292564392089844
20,2.499761390686035
30,2.4598644256591795
40,2.4123849868774414
50,2.4069393157958983
60,2.40075626373291
70,2.348395347595215
80,2.3006811141967773
90,2.2621912002563476
100,2.3839550018310547
110,2.170282745361328
120,2.2996883392333984
130,2.226292610168457
140,2.1190404891967773
150,2.045171546936035
160,2.110551643371582
170,2.1509607315063475
180,2.1321012496948244
190,2.117831993103027
200,2.072292709350586
210,1.9843006134033203
220,2.1182350158691405
230,2.102622413635254
240,2.1206592559814452
250,2.0197433471679687
260,1.8605098724365234
270,1.9441373825073243
280,2.111427116394043
290,1.9541704177856445
300,1.9520021438598634
310,1.9871875762939453
320,1.9780521392822266
330,1.9441387176513671
340,1.9116775512695312
350,1.9467819213867188
360,1.9012571334838868
370,1.9993074417114258
380,1.9093130111694336
390,1.913397216796875
400,1.9175085067749023
410,1.904643440246582
420,1.8572036743164062
430,1.9024238586425781
440,1.8378881454467773
450,1.9101764678955078
460,1.858583641052246
470,1.852791976928711
480,1.7064565658569335
490,1.8770395278930665
500,1.8604801177978516
